work_year,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT,company_size_L,company_size_M,company_size_S,job_title_simplified_Analyst,job_title_simplified_Analytics Engineer,job_title_simplified_Data Analyst,job_title_simplified_Data Engineer,job_title_simplified_Data Scientist,job_title_simplified_Engineer,job_title_simplified_Machine Learning Engineer,job_title_simplified_Manager,job_title_simplified_Other,job_title_simplified_Research Scientist,job_title_simplified_Software Engineer
2025,Business Intelligence Developer,107309,CA,0,CA,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Business Intelligence Developer,85839,CA,0,CA,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Manager,41334,GB,0,GB,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Manager,39325,GB,0,GB,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Management Specialist,102000,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Management Specialist,68000,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Quantitative Developer,285000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Quantitative Developer,155000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Manager,136200,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2025,Manager,81000,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2025,Software Engineer,294000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025,Software Engineer,137600,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025,Technical Lead,175000,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Technical Lead,150000,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Software Engineer,253000,CA,0,CA,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025,Software Engineer,135800,CA,0,CA,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025,Sales Development Representative,70000,US,0,US,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Sales Development Representative,50000,US,0,US,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Consultant,211000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Consultant,142000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Analyst,70000,US,0,US,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2025,Analyst,65000,US,0,US,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2025,System Engineer,147600,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,System Engineer,88600,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,AI Engineer,188500,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,AI Engineer,165100,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Scientist,169000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,105000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,218500,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,161500,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,146800,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,115600,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Product Manager,224000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Product Manager,143000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,AI Engineer,51789,LT,0,LT,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,AI Engineer,48000,LT,0,LT,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,AI Engineer,56842,LT,0,LT,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,AI Engineer,50526,LT,0,LT,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Software Engineer,74526,LT,0,LT,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025,Software Engineer,63157,LT,0,LT,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025,Software Engineer,183580,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025,Software Engineer,111260,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025,Data Analyst,121000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,103000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,31645,GB,0,GB,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,124000,US,100,US,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,86800,US,100,US,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,120000,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,90000,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Analytics Engineer,154688,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2025,Analytics Engineer,103125,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2025,Solution Architect,263900,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Solution Architect,195100,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Associate,87516,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Associate,45360,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Encounter Data Management Professional,88600,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Encounter Data Management Professional,65000,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Encounter Data Management Professional,107800,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Encounter Data Management Professional,78400,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Associate,161700,US,100,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Associate,117600,US,100,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Manager,161456,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2025,Manager,76075,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2025,Data Infrastructure Engineer,101052,LT,0,LT,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Infrastructure Engineer,63157,LT,0,LT,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Architect,224381,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Architect,149587,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Scientist,179000,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,112000,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,130590,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,114210,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,209657,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Scientist,106250,US,0,US,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2025,Data Analyst,97100,US,100,US,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,54000,US,100,US,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,121300,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,67400,US,100,US,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,136000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Analyst,86000,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025,Data Team Lead,173900,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2025,Data Team Lead,82300,US,0,US,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
